[INFO] [launch]: All log files can be found below /home/seeed/.ros/log/2026-07-02-12-46-40-468143-seeed-13174
[INFO] [launch]: Default logging verbosity is set to INFO
[pcd_ndt_localizer-1] [WARN] [1782967678.207762533] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4591 points=2338
[pcd_ndt_localizer-1] [WARN] [1782967679.311142491] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4646 points=2294
[pcd_ndt_localizer-1] [WARN] [1782967680.409544752] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.3966 points=2369
[pcd_ndt_localizer-1] [WARN] [1782967681.411376377] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4786 points=2383
[pcd_ndt_localizer-1] [WARN] [1782967682.510074104] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4428 points=2362
[pcd_ndt_localizer-1] [WARN] [1782967683.607274598] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4093 points=2282
[pcd_ndt_localizer-1] [WARN] [1782967684.707049320] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4050 points=2283
[pcd_ndt_localizer-1] [WARN] [1782967685.707273213] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4995 points=2311
[pcd_ndt_localizer-1] [WARN] [1782967686.804105695] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4192 points=2332
[pcd_ndt_localizer-1] [WARN] [1782967687.905037670] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.5915 points=2339
[pcd_ndt_localizer-1] [WARN] [1782967688.984910405] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.3483 points=2322
[pcd_ndt_localizer-1] [WARN] [1782967690.014785335] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.3259 points=2392
[pcd_ndt_localizer-1] [WARN] [1782967691.108420370] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.5757 points=2330
[pcd_ndt_localizer-1] [WARN] [1782967691.764213117] [pcd_ndt_localizer]: Initial pose reset from /initialpose
[pcd_ndt_localizer-1] [WARN] [1782967692.114912274] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8477 points=2307
[pcd_ndt_localizer-1] [WARN] [1782967693.119243083] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8022 points=2295
[pcd_ndt_localizer-1] [WARN] [1782967694.201638652] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.7885 points=2254
[pcd_ndt_localizer-1] [WARN] [1782967695.216494345] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8514 points=2278
[pcd_ndt_localizer-1] [WARN] [1782967696.221099659] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8037 points=2302
[pcd_ndt_localizer-1] [WARN] [1782967697.314176309] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8298 points=2305
[pcd_ndt_localizer-1] [WARN] [1782967698.318566160] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.7558 points=2344
[pcd_ndt_localizer-1] [WARN] [1782967699.420735167] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8156 points=2315
[pcd_ndt_localizer-1] [WARN] [1782967700.422017014] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8114 points=2345
[pcd_ndt_localizer-1] [WARN] [1782967701.517476076] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8478 points=2339
[pcd_ndt_localizer-1] [WARN] [1782967702.519441049] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8924 points=2300
[pcd_ndt_localizer-1] [WARN] [1782967703.617357535] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8152 points=2356
[pcd_ndt_localizer-1] [WARN] [1782967704.719239652] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8889 points=2326
